Consensus (automatic)	Assessment_1	Assessment_2	URL	Project	Method	Invariant_type	Invariant	Comments
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L71	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	pre	DotLiquid.Template.ValueTypeTransformers != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L72	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	pre	Contract.ForAll(allowedMembers, x => x.ToString().OneOf("Name", "ToString"))	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L73	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	pre	allowedMembers.Count() == 1	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L74	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	pre	DotLiquid.Template.SafeTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L75	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	pre	DotLiquid.Template.NamingConvention != null	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L76	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	pre	type != null	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L77	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	DotLiquid.Template.SafeTypeTransformers == Contract.OldValue(DotLiquid.Template.SafeTypeTransformers)	not useful
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L78	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	DotLiquid.Template.ValueTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L79	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	DotLiquid.Template.NamingConvention != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L80	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	Contract.ForAll(0, allowedMembers.Count(), i => allowedMembers[i].Equals(Contract.OldValue(allowedMembers)[i]))	
